name,description
113年6月24日至113年6月30日資料.ods,113年6月24日至113年6月30日資料
113年7月1日至113年7月7日資料.ods,113年7月1日至113年7月7日資料
113年7月8日至113年7月14日資料.ods,113年7月8日至113年7月14日資料
113年7月15日至113年7月21日資料.ods,113年7月15日至113年7月21日資料
113年7月22日至113年7月28日資料.ods,113年7月22日至113年7月28日資料
113年7月29日至113年8月4日資料.ods,113年7月29日至113年8月4日資料
113年8月5日至113年8月11日資料.ods,113年8月5日至113年8月11日資料
113年8月12日至113年8月18日資料.ods,113年8月12日至113年8月18日資料
113年8月19日至113年8月25日資料.ods,113年8月19日至113年8月25日資料
113年8月26日至113年9月1日資料.ods,113年8月26日至113年9月1日資料
113年9月2日至113年9月9日資料.ods,113年9月2日至113年9月9日資料
113年9月9日至113年9月15日資料.ods,113年9月9日至113年9月15日資料
113年9月16日至113年9月22日資料.ods,113年9月16日至113年9月22日資料
113年9月23日至113年9月29日資料.ods,113年9月23日至113年9月29日資料
113年9月30日至113年10月6日資料.ods,113年9月30日至113年10月6日資料
113年10月7日至113年10月13日資料.ods,113年10月7日至113年10月13日資料
113年10月14日至113年10月20日資料.ods,113年10月14日至113年10月20日資料
113年10月21日至113年10月27日資料.ods,113年10月21日至113年10月27日資料
113年10月28日至113年11月3日資料.ods,113年10月28日至113年11月3日資料
113年11月4日至113年11月10日資料.ods,113年11月4日至113年11月10日資料
113年11月11日至113年11月17日資料.ods,113年11月11日至113年11月17日資料
113年11月18日至113年11月24日資料.ods,113年11月18日至113年11月24日資料
113年11月25日至113年12月1日資料.ods,113年11月25日至113年12月1日資料
113年12月2日至113年12月8日資料.ods,113年12月2日至113年12月8日資料
113年12月9日至113年12月15日資料.ods,113年12月9日至113年12月15日資料
113年12月16日至113年12月22日資料.ods,113年12月16日至113年12月22日資料
113年12月23日至113年12月29日資料.ods,113年12月23日至113年12月29日資料
113年12月30日至114年1月5日資料.ods,113年12月30日至114年1月5日資料
114年1月6日至114年1月12日資料.ods,114年1月6日至114年1月12日資料
114年1月13日至114年1月19日資料.ods,114年1月13日至114年1月19日資料
114年1月20日至114年1月26日資料.ods,114年1月20日至114年1月26日資料
114年1月27日至114年2月2日資料.ods,114年1月27日至114年2月2日資料
114年2月3日至114年2月9日資料.ods,114年2月3日至114年2月9日資料
114年2月10日至114年2月16日資料.ods,114年2月10日至114年2月16日資料
114年2月17日至114年2月23日資料.ods,114年2月17日至114年2月23日資料
114年2月24日至114年3月2日資料.ods,114年2月24日至114年3月2日資料
114年3月3日至114年3月9日資料.ods,114年3月3日至114年3月9日資料
114年3月10日至114年3月16日資料.ods,114年3月10日至114年3月16日資料
114年3月17日至114年3月23日資料.ods,114年3月17日至114年3月23日資料
114年3月24日至114年3月30日資料.ods,114年3月24日至114年3月30日資料
